gpa;Для чего нужна Холодная Прокрутка (ХП) двигателя НК-16СТ?;2;3;перед запуском двигателя с целью прокрутки роторов ВД и НД.;перед запуском двигателя с целью окончательной проверки готовности всех его систем  к работе.;перед запуском двигателя с целью проверки работоспособности масляной системы и насосов.
gpa;Какова продолжительность Холодной Прокрутки (ХП) двигателя НК-16СТ?;3;3;200 сек;150 сек;100 сек
gpa;Как выполняется нормальный останов (НО) двигателя НК-16СТ?;3;3;НО агрегата производится  нажатием кнопки «НО» на пульте управления  ГПА на любых режимах;НО агрегата производится при срабатывании одной из защит системы защит ГПА;НО агрегата производится только после окончания запуска нажатием кнопки «НО» на пульте управления при работе ГПА на режимах «КОЛЬЦО» или «МАГИСТРАЛЬ»
gpa;Что делать если при нажатии кнопки «АО» агрегат ГПА Ц-16 не остановился?;2;3;доложить диспетчеру (начальнику смены ЛПУ) и вызвать аварийную бригаду;остановить его вручную закрытием крана №12 ,затем №1, №2,и открытием кранов №5, №9;остановить  цех кнопкой (ключом) аварийного останова цеха
gpa;Что приводит во вращение воздушный стартер двигателя НК-16СТ?;1;3;ротор ВД;ротор НД;ротор СТ
gpa;Какой газ подается к воспламенителям в процессе запуска двигателя?;2;3;топливный;пусковой;импульсный
gpa;Количество свечей зажигания, установленных на двигателе НК-16СТ?;2;3;1;2;4
gpa;При АО ГПА Ц-16 по команде «Низкое давление смазки двигателя» произойдет:;3;3;Экстренный останов;АО со стравливанием;АО без стравливания
bptpg;Подогреватель ПТПГ-30 предназначен для не прямого нагрева перед дросселированием:;3;3;топливного газа;топливного и импульсного газа;пускового и топливного газа
bptpg;Ресивер в БПТПГ предназначен для обеспечения запаса:;3;3;топливного газа;пускового газа;импульсного газа
bptpg;На какие потоки делится подогретый газ в БПТПГ?;3;3;импульсный, топливный и пусковой;импульсный и пусковой;пусковой и топливный
bptpg;Для чего предназначены адсорберы в БПТПГ?;1;3;предназначены для осушки импульсного газа путем поглощения влаги находящейся в газе, поглощение осуществляется адсорбентом;предназначены для осушки топливного газа путем поглощения влаги находящейся в газе, поглощение осуществляется абсорбентом;предназначены для осушки пускового газа путем поглощения влаги находящейся в газе, поглощение осуществляется адсорбентом
bptpg;Переключение основной нитки на резервную в БПТПГ проводят?;2;3;не реже одного раза в год;не реже одного раза в месяц;не реже одного раза в квартал
bptpg;На какое давление настроены СППК линии топливного газа?;3;3;25,5 кгс/см2;26,5 кгс/см2;27,5 кгс/см2
zra;Что называется задвижкой?;3;3;запорная арматура с поступательным перемещением затвора, параллельно потоку транспортируемого газа;запорное устройство, в котором подвижная деталь затвора имеет форму тела вращения с отверстием для пропуска рабочей среды;запорное устройство, в котором проходное сечение для газа перекрывается за счет поступательного перемещения затвора в направлении, перпендикулярном движению потока транспортируемого газа
zra;Что называется краном?;2;3;запорное устройство, в котором проходное сечение для газа перекрывается за счет поступательного перемещения затвора в направлении, перпендикулярном движению потока транспортируемого газа;запорное устройство, в котором подвижная деталь затвора имеет форму тела вращения с отверстием для пропуска рабочей среды, за счет перемещения затвора в направлении, перпендикулярном движению потока транспортируемого газа;запорная арматура с поступательным перемещением затвора, параллельно потоку транспортируемого газа
zra;В каком положении должен быть селектор переключения режимов на кране №36Д?;1;3;открыто;закрыто;дистанция
zra;В каком положении должен быть селектор переключения режимов на кране №36?;3;3;открыто;закрыто;дистанция
ms;Что подразумевает очистка масла методом пурификации?;1;3;очистка масла преимущественно от воды;очистка масла преимущественно от механических примесей;очистка масла от механических примесей и воды
ms;Что подразумевает очистка масла методом кларификации?;2;3;очистка масла преимущественно от воды;очистка масла преимущественно от механических примесей;очистка масла от механических примесей и воды
ms;Укажите правильное значение кинематической вязкости масла ТП-22С, согласно эксплуатационным нормам?;2;3;более 28,0 сСт;20,0 - 25,5 сСт;7,0 - 9,5 сСт
ms;Какие опознавательные надписи должны иметь все ёмкости для хранения масла?;1;3;номер ёмкости, объём ёмкости, и марка масла;номер ёмкости, объём ёмкости, фамилия ответственного за пожарную безопасность и марка масла;номер цеха, объём ёмкости, и марка масла
ms;Какие виды анализа масла должны проводиться при эксплуатации системы  маслоснабжения цеха?;2;3;анализы на воду и мех. примеси;полный и частичный анализы;лабораторный и оперативный анализы
ks;При каком максимально избыточным давлении должна срабатывать защита КЦ от превышения давления?;2;3;7,5 МПа;76,5 кгс/см2;75,0 кгс/см2
ks;Открытием какого крана происходит срабатывание защиты КЦ от превышения давления?;2;3;№36р;№36;№36, 36р
ks;Каким образом происходит расчет количества  ПУ в работе?;3;3;Расчетом производительности одного ГПА, сравнением с производительностью одного ПУ в работе;Расчетом производительности одного ГПА, сравнением с производительностью трех ПУ в работе;Cравнением суммы производительности всех работающих ГПА с суммой  производительности ПУ в работе
ks;Каким образом возможно уменьшить количество потребляемого топливного газа ГПА при постоянных оборотах ротора нагнетателя?;2;3;Увеличением давления топливного газа;Увеличением температуры топливного газа;Уменьшением давления топливного газа
ks;Какая схема цеха характерна для полнонапорных нагнетателей?;1;3;параллельная;последовательная;параллельно-последовательная
gpa;Предупреждение и аварийное значение виброскорости опор двигателя, мм/с;3;3;60, 80;80, 100;40, 60
gpa;Аварийная уставка "Давление масла нагнетателя" ГПА-Ц-16, кг/см2;2;3;1,2;0,8;0,3
gpa;Предупредительная уставка "Давление масла нагнетателя" ГПА-Ц-16, кг/см2;1;3;1,2;0,8;0,3
gpa;Предупредительная уставка "Давление масла на входе двигателя" ГПА-Ц-16 с двигателем НК-16СТ, кг/см2;1;3;2,9;2,3;0,3
gpa;Аварийная уставка "Давление масла на входе двигателя" ГПА-Ц-16 с двигателем НК-16СТ, кг/см2;2;3;2,9;2,3;0,3
gpa;Аварийная уставка "Давление масла на входе СТ двигателя" ГПА-Ц-16 с двигателем НК-16СТ, кг/см2;3;3;2,9;2,3;1,1
gpa;Аварийная уставка "Давление масла на входе САР" ГПА-Ц-16 с двигателем НК-16СТ, кг/см2;1;3;18;4;2,3
gpa;Предупредительная уставка "Перепад давлений МАСЛО-ГАЗ" ГПА-Ц-16, кг/см2;1;3;0,8;0,3;1,2
gpa;Аварийная уставка "Перепад давлений МАСЛО-ГАЗ" ГПА-Ц-16, кг/см2;2;3;0,8;0,3;1,2
gpa;Предупредительная уставка "Давление топливного газа" ГПА-Ц-16, кг/см2;2;3;18;20;22
gpa;Аварийная уставка "Давление топливного газа" ГПА-Ц-16, кг/см2;1;3;18;20;22
gpa;Предупредительная уставка "Температура газа на выходе нагнетателя" ГПА-Ц-16, град. Цельсия;2;3;70;80;90
gpa;Аварийная уставка "Температура газа на выходе нагнетателя" ГПА-Ц-16, град. Цельсия;3;3;70;80;90
gpa;Аварийная уставка "Осевой сдвиг ротора нагнетателя" ГПА-Ц-16, мм;2;3;0,4…-0,7;0,7…-1,0;1,0…-1,0
gpa;Предупредительная уставка "Осевой сдвиг ротора нагнетателя" ГПА-Ц-16, мм;1;3;0,4…-0,7;0,7…-1,0;1,0…-1,0
gpa;Предупредительная уставка "Виброперемещение ротора нагнетателя" ГПА-Ц-16, мкм;1;3;60;80;40
gpa;Предупредительная уставка "Виброперемещение ротора нагнетателя" ГПА-Ц-16, мкм;2;3;60;80;40
gpa;Аварийная уставка "Температура на выходе задней опоры ГГ" двигателя НК-16СТ ГПА-Ц-16, град. Цельсия;3;3;110;125;140
gpa;Предупредительная уставка "Температура на выходе задней опоры ГГ" двигателя НК-16СТ ГПА-Ц-16, град. Цельсия;2;3;110;125;140
gpa;Аварийная уставка "Температура на выходе СТ" двигателя НК-16СТ ГПА-Ц-16, град. Цельсия;3;3;110;125;140
gpa;Предупредительная уставка "Температура на выходе СТ" двигателя НК-16СТ ГПА-Ц-16, град. Цельсия;2;3;110;125;140
gpa;Остановленный ГПА может находиться в одном из следующих состояний (согласно ПЭМГ):;2;3;горячий резерв, холодный резерв, ТО, ремонт, консервация;горячий резерв, резерв, ТО, ремонт, консервация;работа, горячий резерв, резерв, ТО, ремонт, консервация
ms;Каков неснижаемый запас смазочного масла на компрессорной станции (согласно ПЭМГ)?;1;3;Не менее трёхмесячного расхода смазочного масла для всех типов установленных ГПА и двигателей электростанций, а при неблагоприятной транспортной схеме - не менее шестимесячного расхода;Не менее шестимесячного расхода смазочного масла для всех типов установленных ГПА и двигателей электростанций, а при неблагоприятной транспортной схеме - не менее годового расхода;Не менее четырёхмесячного расхода смазочного масла для всех типов установленных ГПА и двигателей электростанций, а при неблагоприятной транспортной схеме - не менее годового расхода
ks;Автоматические защиты от превышения давления газа на выходе КЦ проверяют не реже (согласно ПЭМГ):;2;3;одного раза в год;одного раза в квартал;одного раза в полугодие
ks;Автоматические защиты от снижения давления топливного  газа проверяют не реже (согласно ПЭМГ):;1;3;одного раза в месяц;одного раза в квартал;одного раза в год
gpa;Под помпажом двигателя понимается…;2;3;неустойчивый режим работы, срыв потока воздуха со ступени турбины;неустойчивый режим работы, срыв потока воздуха со ступени компрессора;неустойчивый процесс горения в камере сгорания
gpa;Под помпажом нагнетателя понимается…;3;3;устойчивый режим работы нагнетателя, не являющийся опасным режимом в системе нагнетатель - газопровод;аварийный останов нагнетателя;неустойчивый режим работы нагнетателя, являющийся наиболее опасным  автоколебательным режимом в системе нагнетатель – газопровод, приводящий к срыву потока в проточной части нагнетателя
gpa;При работе агрегата ГПА-Ц-16 рабочая точка нагнетателя должна лежать…;1;3;правее помпажной линии не менее чем на 10% по производительности;на границе помпажной линии;левее помпажной линии более 10% по производительности
gpa;Какую функцию выполняет кран №6Д в обвязке ГПА Ц-16?;2;3;функция противопомпажного регулирования;функция дросселя для обеспечения необходимой степени сжатия в момент пуска и останова ГПА;функция обратного клапана
ks;Для каких целей предназначен охранный кран №19 компрессорного цеха?;2;3;для подачи газа на вход цеха;для отключения МГ от цеха в случае возникновения аварии;для отключения МГ от цеха при проведении ППР
gpa;Каким образом осуществляется связь между каскадом низкого и высокого давления в газотурбинном двигателе НК-16СТ?;2;3;механическим способом;газодинамическим способом;гидравлическим способом
gpa;Для чего служит регулируемый направляющий аппарат двигателя НК-16СТ?;1;3;для обеспечения устойчивой работы двигателя на нерасчётных режимах;для изменения частоты вращения вала ВД;для регулирования мощности двигателя
gpa;Сколько ступеней в компрессоре высокого давления двигателя НК-16СТ?;2;3;4;6;10
gpa;Какую нагрузку может воспринимать роликовый подшипник ротора?;2;3;только осевую нагрузку;только радиальную нагрузку;осевую и радиальную
gpa;Какое количество ступеней сжатия имеет нагнетатель НЦ-16/76?;3;3;3;4;2
gpa;Как изменится расход топливного газа при увеличении разряжения на входе в осевой компрессор двигателя?;2;3;не изменится;увеличится;уменьшится
gpa;Что произойдёт с КПД двигателя при увеличении температуры воздуха на входе осевого компрессора?;3;3;не изменится;будет увеличиваться;будет снижаться
